"company","datacenter_name","datacenter_id","mi_datacenter_id","mi_company_id","facility_owner","street_address","total_UPS_power","net_UPS_power","net_UPS_power_utilized","total_utility_power","PUE","kW_per_rack","total_revenue","year_built","year_operational","quarter_operational","year_retrofitted","year_decommissioned","quarter_decommissioned","operational_status","center_type","tenant_type","county","state_ab","state","zip_code","latitude","longitude"
"CoreSite Realty Corporation","LA2","410","10006948","4258680","CoreSite Realty Corporation","900 North Alameda Street",42141,38462,36354.95,63212,1.5,3.47,135.47,NA,NA,NA,NA,NA,NA,"Operational","Wholesale","Multi","Los Angeles","CA","California","90012",34.05828,-118.236
"Evocative, Inc.","LA2","436","10317528","5068066","Digital Realty Trust, Inc.","Carrier Center, 600 West 7th St.",1460,1460,1168,2775,1.9,5.11,3.9,1999,1999,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90017",34.046177,-118.258676
"Equinix, Inc.","LA2","749","10167384","4570011","Equinix, Inc.","818 West 7th Street",940,186,186,1597,1.7,2.86,10.43,1993,1993,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90017",34.048786,-118.25947
"Centersquare","LA2","1662","10319303","124026378","Digital Realty Trust, Inc.","3015 Winona Ave",2217,2217,1995.3,3769,1.7,5.05,5.79,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","91504",34.199793,-118.343821
"Verizon Communications Inc.","LA2","2288","10343876","4057229","Verizon Communications Inc.","818 West 7th St.",270,270,191.7,513,1.9,2.38,1.32,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90017",34.048897,-118.259585
"RackAlley LLC","LA2","6840","10340259","8375883","Digital Realty Trust, Inc.","Carrier Center, 600 West 7th St.",150,150,121.5,225,1.5,5.25,0.34,2015,2015,1,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90017",34.046177,-118.258676
"Equinix, Inc.","LA3","750","10012443","4570011","Equinix, Inc.","1920 East Maple Avenue",5326,5326,4527.1,9320,1.8,2.86,50.28,2006,2006,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90245",33.9262,-118.394
"Centersquare","LA3","1694","10167383","124026378","Centersquare","17836 Gillette Avenue",11897,11897,8327.9,18000,1.7,2.87,42.67,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Orange","CA","California","92614",33.68738,-117.848727
"Verizon Communications Inc.","LA3","4784","10339305","4057229","Verizon Communications Inc.","800 S Hope St",375,375,187.5,675,1.8,2.62,0.99,NA,NA,NA,NA,NA,NA,"Operational","Telco","Multi","Los Angeles","CA","California","90017",34.045967,-118.258966
"CoreSite Realty Corporation","LA3","6832","10167829","4258680","CoreSite Realty Corporation","900 North Alameda Street",16000,16000,16000,24000,1.5,3.5,67.2,2020,2020,4,NA,NA,NA,"Operational","Wholesale","Multi","Los Angeles","CA","California","90012",34.05883,-118.235398
